covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
tier_rank,0.42266706623548594,1.5260261457515165,0.05911157810872926,0.30681050207305033,0.5385236303979216,1.3590834001815746,1.7134752710584982,0.0,7.150326209495478,8.657192272637626e-13,40.07116603204072
tenure_days,-2.6443676082086554,0.07105027114368531,0.10687112245762932,-2.8538311592129784,-2.4349040572043323,0.05762313404352788,0.08760615182398604,0.0,-24.74351861754849,3.6406021978980316e-135,446.59611570111076
annual_contract_value,0.09321537071562196,1.0976981218418334,0.049725963450836394,-0.004245726744572437,0.19067646817581635,0.9957632736110333,1.2100678932709508,0.0,1.8745814911717726,0.060850321451936314,4.0385913055392635
booking_count_90d,-0.4877746493447958,0.6139912207777471,0.09766852062145655,-0.6792014321861582,-0.29634786650343337,0.5070217219701475,0.7435287342863476,0.0,-4.994184884148208,5.908477620182993e-07,20.690710211091552
total_spend_90d,0.03295758452481307,1.033506701633757,0.09346100619359991,-0.15022262157351768,0.2161377906231438,0.860516385587925,1.2412734030533443,0.0,0.3526345998944527,0.7243623949030782,0.4652164438161152
booking_volume_trend,0.06864078512479282,1.0710514024424687,0.02232533154038959,0.024883939362713096,0.11239763088687255,1.0251961287033877,1.1189577043417374,0.0,3.074569575847607,0.002108065450340155,8.889864624795441
spend_acceleration,0.06810507493782535,1.0704777829560341,0.03490425090272718,-0.00030599973886960563,0.1365161496145203,0.9996940470742756,1.1462733894996637,0.0,1.951197151533886,0.05103359770864392,4.292408838989728
cancellation_rate_90d,0.16443180572427632,1.1787231846368877,0.03124361255911352,0.10319545036149051,0.2256681610870621,1.1087080852966533,1.2531597491045376,0.0,5.2628935086545505,1.4180572299508522e-07,22.74958090617559
num_active_products,-0.16665156712296478,0.8464945064749098,0.05619052263205469,-0.2767829677542748,-0.05652016649165478,0.7582190372350088,0.9450474260119461,0.0,-2.9658305229554136,0.003018667855769306,8.371872258912164
ticket_rate_per_month,0.29659178112268353,1.3452660243573398,0.026114250861268378,0.24540878995135343,0.34777477229401366,1.278143698725061,1.4159133109175486,0.0,11.357468483332092,6.808917202297078e-30,96.89041745676546
p1_p2_escalation_ratio,-0.03363582564769222,0.9669235692917348,0.04484439024503227,-0.1215292154366148,0.05425756414123036,0.8855651807975223,1.0557564921532698,0.0,-0.7500564834063788,0.4532206869383878,1.1417143814290944
out_of_policy_rate_90d,0.07414314884819168,1.0769609601834214,0.03481068011090453,0.005915469553474023,0.14237082814290933,1.0059330004943616,1.1530041356523704,0.0,2.1298965895517266,0.03318015177700523,4.913535704100841
avg_resolution_hours,-0.12524552846615747,0.8822802510718603,0.06209971729148316,-0.2469587378075837,-0.0035323191247312313,0.781172925773959,0.9964739121753289,0.0,-2.0168453888168445,0.04371165061672415,4.5158383323191735
destination_diversity,-0.6947940674065308,0.499177234263703,0.0912282498117559,-0.8735981514101954,-0.5159899834028663,0.41744680690874725,0.5969093716451146,0.0,-7.615996896139051,2.6166397550133432e-14,45.119278012913895
